n_amostra,tempo_s,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z
0,0.0,11128,-656,12796,-302,-939,-356
1,0.1,11200,-544,12580,-189,-482,-361
2,0.2,11260,-696,12348,38,-300,-135
3,0.3,11216,-656,13004,-14,99,197
4,0.4,11212,-748,12568,12,-131,-76
5,0.5,11312,-608,12412,-72,-237,-169
6,0.6,11288,-560,12472,-15,-61,-127
7,0.7,11288,-624,12452,-45,-43,-163
8,0.8,11312,-612,12444,-38,-51,-98
9,0.9,11344,-676,12472,-44,-47,-111
10,1.0,11408,-600,12444,-23,-54,-140
11,1.1,11300,-628,12504,-21,-83,-155
12,1.2,11380,-520,12364,-53,-75,-133
13,1.3,11312,-672,12480,-39,-92,-136
14,1.4,11356,-592,12444,-16,-116,-137
15,1.5,11252,-708,12460,-11,-33,-110
16,1.6,11344,-588,12440,1,-87,-100
17,1.7,11308,-576,12440,-58,-161,-160
18,1.8,11292,-600,12468,-22,-35,-128
19,1.9,11300,-608,12576,-24,-60,-98
20,2.0,11264,-624,12440,-18,-86,-112
21,2.1,11332,-628,12416,-66,-130,-116
22,2.2,11316,-616,12360,-18,-64,-170
23,2.3,11264,-668,12440,-1,-130,-109
24,2.4,11284,-644,12440,-66,-80,-164
25,2.5,11360,-636,12424,-9,-90,-130
26,2.6,11320,-612,12452,-25,-88,-124
27,2.7,11332,-560,12440,0,-62,-113
28,2.8,11344,-596,12404,-49,-56,-138
29,2.9,11264,-612,12472,-44,-95,-103
30,3.0,11328,-604,12428,-36,-98,-124
31,3.1,11392,-568,12452,-51,-95,-112
32,3.2,11312,-536,12488,-49,-82,-152
33,3.3,11348,-596,12512,-27,-109,-126
34,3.4,11304,-632,12420,-57,-134,-94
35,3.5,11304,-628,12372,-38,-31,-114
36,3.6,11312,-608,12472,-34,-96,-93
37,3.7,11364,-612,12396,-11,-114,-126
38,3.8,11244,-632,12416,-40,-97,-112
39,3.9,11300,-664,12388,-57,-40,-119
40,4.0,11352,-828,12280,1305,1095,1354
41,4.1,11228,-528,12860,-672,-630,-812
42,4.2,11328,-572,12556,470,602,362
43,4.3,12164,1468,12448,-3775,-252,-1115
44,4.4,10000,-3916,12044,-1378,373,-2473
